date;SO4
03/01/2000 08.00;0,13
10/01/2000 08.00;0,162
17/01/2000 08.00;0,171
24/01/2000 08.00;0,24
31/01/2000 08.00;0,248
07/02/2000 08.00;0,348
14/02/2000 08.00;0,266
21/02/2000 08.00;0,281
28/02/2000 08.00;0,322
06/03/2000 08.00;0,211
13/03/2000 08.00;0,576
20/03/2000 08.00;0,319
27/03/2000 08.00;0,43
03/04/2000 08.00;0,341
10/04/2000 08.00;0,313
17/04/2000 08.00;0,31
24/04/2000 08.00;0,32
01/05/2000 08.00;
08/05/2000 08.00;0,321
15/05/2000 08.00;0,362
22/05/2000 08.00;0,173
29/05/2000 08.00;0,056
05/06/2000 08.00;
12/06/2000 08.00;0,034
19/06/2000 08.00;0,127
26/06/2000 08.00;0,038
03/07/2000 08.00;0,03
10/07/2000 08.00;0,03
17/07/2000 08.00;0,028
24/07/2000 08.00;0,026
31/07/2000 08.00;0,006
07/08/2000 08.00;0,023
14/08/2000 08.00;0,033
21/08/2000 08.00;0,023
28/08/2000 08.00;0,025
04/09/2000 08.00;0,023
11/09/2000 08.00;0,015
18/09/2000 08.00;0,029
25/09/2000 08.00;0,024
02/10/2000 08.00;0,024
09/10/2000 08.00;0,073
16/10/2000 08.00;0,023
23/10/2000 08.00;
30/10/2000 08.00;0,026
06/11/2000 08.00;0,025
13/11/2000 08.00;0,081
20/11/2000 08.00;0,066
27/11/2000 08.00;0,079
04/12/2000 08.00;0,125
11/12/2000 08.00;0,182
18/12/2000 08.00;0,077
25/12/2000 08.00;0,092
01/01/2001 08.00;0,151
08/01/2001 08.00;0,238
15/01/2001 08.00;0,291
22/01/2001 08.00;0,207
29/01/2001 08.00;0,074
05/02/2001 08.00;0,09
12/02/2001 08.00;0,106
19/02/2001 08.00;0,225
26/02/2001 08.00;0,206
05/03/2001 08.00;0,232
12/03/2001 08.00;0,343
19/03/2001 08.00;0,325
26/03/2001 08.00;0,285
02/04/2001 08.00;0,352
09/04/2001 08.00;0,328
16/04/2001 08.00;0
23/04/2001 08.00;0,221
30/04/2001 08.00;0,322
07/05/2001 08.00;0,303
14/05/2001 08.00;0,265
21/05/2001 08.00;0,156
28/05/2001 08.00;0,129
04/06/2001 08.00;0,046
11/06/2001 08.00;0,069
18/06/2001 08.00;0,075
25/06/2001 08.00;0,042
02/07/2001 08.00;0,041
09/07/2001 08.00;0,016
16/07/2001 08.00;0,017
23/07/2001 08.00;0,026
30/07/2001 08.00;0,01
06/08/2001 08.00;0,068
13/08/2001 08.00;0,019
20/08/2001 08.00;0,032
27/08/2001 08.00;0,023
03/09/2001 08.00;0,031
10/09/2001 08.00;0,016
17/09/2001 08.00;0,034
24/09/2001 08.00;0,04
01/10/2001 08.00;0,041
08/10/2001 08.00;0,054
15/10/2001 08.00;0,062
22/10/2001 08.00;0,104
29/10/2001 08.00;0,122
05/11/2001 08.00;0,149
12/11/2001 08.00;0,138
19/11/2001 08.00;0,185
26/11/2001 08.00;0,099
03/12/2001 08.00;0,048
10/12/2001 08.00;0,043
17/12/2001 08.00;0,108
24/12/2001 08.00;0,229
31/12/2001 08.00;0,087
07/01/2002 08.00;0,26
14/01/2002 08.00;0,394
21/01/2002 08.00;0,416
28/01/2002 08.00;0,344
04/02/2002 08.00;0,164
11/02/2002 08.00;0,259
18/02/2002 08.00;0,222
25/02/2002 08.00;0,278
04/03/2002 08.00;0,288
11/03/2002 08.00;0,353
18/03/2002 08.00;0,318
25/03/2002 08.00;0,282
01/04/2002 08.00;0,291
08/04/2002 08.00;0,313
15/04/2002 08.00;0,333
22/04/2002 08.00;0,389
29/04/2002 08.00;0,26
06/05/2002 08.00;0,274
13/05/2002 08.00;0,18
20/05/2002 08.00;0,154
27/05/2002 08.00;0,06
03/06/2002 08.00;0,025
10/06/2002 08.00;0,035
17/06/2002 08.00;0,044
24/06/2002 08.00;0,022
01/07/2002 08.00;
08/07/2002 08.00;
15/07/2002 08.00;
22/07/2002 08.00;
29/07/2002 08.00;
05/08/2002 08.00;
12/08/2002 08.00;
19/08/2002 08.00;
26/08/2002 08.00;
02/09/2002 08.00;
09/09/2002 08.00;
16/09/2002 08.00;
23/09/2002 08.00;
30/09/2002 08.00;
07/10/2002 08.00;
14/10/2002 08.00;
21/10/2002 08.00;
28/10/2002 08.00;
04/11/2002 08.00;
11/11/2002 08.00;
18/11/2002 08.00;
25/11/2002 08.00;
02/12/2002 08.00;
09/12/2002 08.00;
16/12/2002 08.00;
23/12/2002 08.00;
30/12/2002 08.00;
06/01/2003 08.00;
13/01/2003 08.00;
20/01/2003 08.00;
27/01/2003 08.00;
03/02/2003 08.00;
10/02/2003 08.00;
17/02/2003 08.00;
24/02/2003 08.00;
03/03/2003 08.00;
10/03/2003 08.00;
17/03/2003 08.00;
24/03/2003 08.00;
31/03/2003 08.00;
07/04/2003 08.00;
14/04/2003 08.00;
21/04/2003 08.00;
28/04/2003 08.00;
05/05/2003 08.00;
12/05/2003 08.00;
19/05/2003 08.00;
26/05/2003 08.00;
02/06/2003 08.00;
09/06/2003 08.00;
16/06/2003 08.00;
23/06/2003 08.00;
30/06/2003 08.00;
07/07/2003 08.00;
14/07/2003 08.00;
21/07/2003 08.00;
28/07/2003 08.00;
04/08/2003 08.00;
11/08/2003 08.00;
18/08/2003 08.00;
25/08/2003 08.00;
01/09/2003 08.00;
08/09/2003 08.00;
15/09/2003 08.00;
22/09/2003 08.00;
29/09/2003 08.00;
06/10/2003 08.00;
13/10/2003 08.00;
20/10/2003 08.00;
27/10/2003 08.00;
03/11/2003 08.00;
10/11/2003 08.00;
17/11/2003 08.00;
24/11/2003 08.00;
01/12/2003 08.00;
08/12/2003 08.00;
15/12/2003 08.00;
22/12/2003 08.00;
29/12/2003 08.00;
05/01/2004 08.00;
12/01/2004 08.00;
19/01/2004 08.00;
26/01/2004 08.00;
02/02/2004 08.00;
09/02/2004 08.00;
16/02/2004 08.00;
23/02/2004 08.00;
01/03/2004 08.00;
08/03/2004 08.00;
15/03/2004 08.00;
22/03/2004 08.00;
29/03/2004 08.00;
