"date","SO4"
"1993-01-01",0.216
"1993-01-02",0.173
"1993-01-03",0.067
"1993-01-04",0.119
"1993-01-05",0.179
"1993-01-06",0.186
"1993-01-07",0.19
"1993-01-08",0.187
"1993-01-09",0.222
"1993-01-10",0.249
"1993-01-11",0.226
"1993-01-12",0.286
"1993-01-13",0.267
"1993-01-14",0.249
"1993-01-15",0.038
"1993-01-16",0.057
"1993-01-17",0.096
"1993-01-18",0.136
"1993-01-19",0.083
"1993-01-20",0.217
"1993-01-21",0.428
"1993-01-22",0.428
"1993-01-23",0.329
"1993-01-24",0.107
"1993-01-25",0.057
"1993-01-26",0.456
"1993-01-27",0.461
"1993-01-28",0.294
"1993-01-29",0.159
"1993-01-30",0.018
"1993-01-31",0.027
"1993-02-01",0.187
"1993-02-02",0.172
"1993-02-03",0.395
"1993-02-04",0.323
"1993-02-05",0.163
"1993-02-06",0.277
"1993-02-07",0.277
"1993-02-08",0.293
"1993-02-09",0.667
"1993-02-10",0.276
"1993-02-11",0.391
"1993-02-12",0.167
"1993-02-13",-0.023
"1993-02-14",0.103
"1993-02-15",0.255
"1993-02-16",0.509
"1993-02-17",0.467
"1993-02-18",0.372
"1993-02-19",0.157
"1993-02-20",0.232
"1993-02-21",0.516
"1993-02-22",0.083
"1993-02-23",-0.028
"1993-02-24",0.031
"1993-02-25",0.056
"1993-02-26",1.17
"1993-02-27",0.919
"1993-02-28",0.426
"1993-03-01",0.107
"1993-03-02",0.053
"1993-03-03",0.399
"1993-03-04",0.198
"1993-03-05",0.328
"1993-03-06",0.286
"1993-03-07",0.107
"1993-03-08",0.206
"1994-01-01",0.037
"1994-01-02",0.413
"1994-01-03",0.442
"1994-01-04",0.461
"1994-01-05",0.7
"1994-01-06",0.578
"1994-01-07",0.386
"1994-01-08",0.284
"1994-01-09",0.199
"1994-01-10",0.147
"1994-01-11",0.069
"1994-01-12",0.08
"1994-01-13",0.17
"1994-01-14",0.382
"1994-01-15",0.568
"1994-01-16",0.307
"1994-01-17",0.168
"1994-01-18",0.189
"1994-01-19",0.142
"1994-01-20",0.114
"1994-01-21",0.076
"1994-01-22",0.285
"1994-01-23",0.379
"1994-01-24",0.287
"1994-01-25",0.569
"1994-01-26",0.862
"1994-01-27",0.257
"1994-01-28",0.197
"1994-01-29",0.177
"1994-01-30",0.147
"1994-01-31",0.029
"1994-02-01",0.081
"1994-02-02",0.043
"1994-02-03",0.129
"1994-02-04",0.063
"1994-02-05",0.059
"1994-02-06",0.327
"1994-02-07",0.057
"1994-02-08",0.053
"1994-02-09",0.018
"1994-02-10",0.057
"1994-02-11",0.073
"1994-02-12",0.02
"1994-02-13",0.019
"1994-02-14",9.999
"1994-02-15",0.078
"1994-02-16",0.077
"1994-02-17",-0.001
"1994-02-18",0.136
"1994-02-19",0.096
"1994-02-20",0.14
"1994-02-21",0.21
"1994-02-22",0.425
"1994-02-23",0.447
"1994-02-24",0.277
"1994-02-25",0.263
"1994-02-26",0.177
"1994-02-27",0.069
"1994-02-28",0.16
"1994-03-01",0.117
"1994-03-02",0.06
"1994-03-03",0.115
"1994-03-04",0.156
"1994-03-05",0.107
"1994-03-06",0.038
"1994-03-07",0.198
"1994-03-08",0.745
"1995-01-01",0.377
"1995-01-02",0.197
"1995-01-03",0.129
"1995-01-04",0.447
"1995-01-05",0.368
"1995-01-06",0.075
"1995-01-07",0.103
"1995-01-08",0.08
"1995-01-09",0.099
"1995-01-10",0.122
"1995-01-11",0.054
"1995-01-12",0.088
"1995-01-13",0.082
"1995-01-14",0.174
"1995-01-15",0.175
"1995-01-16",0.16
"1995-01-17",0.143
"1995-01-18",0.196
"1995-01-19",0.085
"1995-01-20",0.013
"1995-01-21",0.042
"1995-01-22",0.163
"1995-01-23",0.107
"1995-01-24",0.095
"1995-01-25",99.999
"1995-01-26",0.32
"1995-01-27",0.367
"1995-01-28",0.407
"1995-01-29",0.403
"1995-01-30",0.25
"1995-01-31",0.252
"1995-02-01",0.238
"1995-02-02",0.072
"1995-02-03",0.144
"1995-02-04",0.113
"1995-02-05",0.27
"1995-02-06",0.337
"1995-02-07",0.296
"1995-02-08",0.212
"1995-02-09",0.457
"1995-02-10",0.531
"1995-02-11",0.199
"1995-02-12",0.426
"1995-02-13",0.25
"1995-02-14",0.123
"1995-02-15",0.189
"1995-02-16",0.187
"1995-02-17",0.202
"1995-02-18",0.186
"1995-02-19",0.227
"1995-02-20",0.227
"1995-02-21",0.297
"1995-02-22",0.258
"1995-02-23",0.347
"1995-02-24",0.343
"1995-02-25",0.315
"1995-02-26",0.481
"1995-02-27",0.448
"1995-02-28",0.28
"1995-03-01",0.25
"1995-03-02",0.76
"1995-03-03",0.343
"1995-03-04",0.267
"1995-03-05",0.21
"1995-03-06",0.175
"1995-03-07",0.148
"1995-03-08",0.092
"1996-01-01",0.387
"1996-01-02",0.385
"1996-01-03",0.407
"1996-01-04",0.256
"1996-01-05",0.313
"1996-01-06",0.173
"1996-01-07",0.017
"1996-01-08",0.002
"1996-01-09",0.028
"1996-01-10",0.017
"1996-01-11",0.047
"1996-01-12",0.003
"1996-01-13",0.004
"1996-01-14",0.03
"1996-01-15",0.029
"1996-01-16",0.003
"1996-01-17",0.033
"1996-01-18",0.003
"1996-01-19",0.013
"1996-01-20",0.047
"1996-01-21",0.079
"1996-01-22",0.037
"1996-01-23",0.127
"1996-01-24",0.045
"1996-01-25",-0.001
"1996-01-26",0.135
"1996-01-27",0.12
"1996-01-28",0.112
"1996-01-29",0.112
"1996-01-30",9.999
"1996-01-31",0.196
"1996-02-01",0.133
"1996-02-02",0.166
"1996-02-03",0.299
"1996-02-04",0.643
"1996-02-05",0.067
"1996-02-06",0.027
"1996-02-07",0.128
"1996-02-08",0.22
"1996-02-09",0.083
"1996-02-10",0.231
"1996-02-11",0.042
"1996-02-12",0.267
"1996-02-13",0.192
"1996-02-14",0.307
"1996-02-15",0.303
"1996-02-16",0.25
"1996-02-17",0.349
"1996-02-18",0.353
"1996-02-19",0.317
"1996-02-20",0.058
"1996-02-21",-0.002
"1996-02-22",0.056
"1996-02-23",0.058
"1996-02-24",0.107
"1996-02-25",0.1
"1996-02-26",0.176
"1996-02-27",0.126
"1996-02-28",0.061
"1996-02-29",0.097
"1996-03-01",0.376
"1996-03-02",0.167
"1996-03-03",0.43
"1996-03-04",0.253
"1996-03-05",0.077
"1996-03-06",0.129
"1996-03-07",0.096
"1997-01-01",0.176
"1997-01-02",0.21
"1997-01-03",0.301
"1997-01-04",0.229
"1997-01-05",0.292
"1997-01-06",0.187
"1997-01-07",0.157
