date,EC,days_diff
2008-08-10,24.2,0.0
2008-08-24,26.5,14.0
2008-09-07,28.8,14.0
2008-09-21,15.8,14.0
2008-10-05,8.8,14.0
2008-10-19,15.9,14.0
2008-11-02,12.7,14.0
2008-11-16,43.9,14.0
2008-11-30,19.0,14.0
2008-12-14,27.3,14.0
2008-12-28,32.3,14.0
2009-01-11,98.1,14.0
2009-01-25,10.9,14.0
2009-02-08,42.7,14.0
2009-02-22,32.5,14.0
2009-03-01,85.4,7.0
2009-03-08,108.7,7.0
2009-05-17,19.1,70.0
2009-05-24,18.7,7.0
2009-05-31,9.0,7.0
2009-06-14,36.4,14.0
2009-06-21,11.7,7.0
2009-06-28,53.6,7.0
2009-07-05,34.5,7.0
2009-07-12,31.4,7.0
2009-07-19,23.0,7.0
2009-07-26,12.4,7.0
2009-08-02,1.9,7.0
2009-08-16,10.3,14.0
2009-08-30,40.1,14.0
2009-09-13,34.3,14.0
2009-09-27,6.4,14.0
2009-10-11,72.2,14.0
2009-10-25,41.8,14.0
2009-11-15,35.7,21.0
2009-11-29,1.0,14.0
2009-12-13,17.7,14.0
2009-12-27,36.6,14.0
2010-01-10,82.6,14.0
2010-01-24,56.6,14.0
2010-02-07,12.6,14.0
2010-02-21,30.3,14.0
2010-02-28,34.7,7.0
2010-03-07,50.8,7.0
2010-03-14,47.2,7.0
2010-03-21,58.7,7.0
2010-03-28,26.7,7.0
2010-04-04,34.2,7.0
2010-04-11,113.2,7.0
2010-04-18,36.5,7.0
2010-04-25,19.6,7.0
2010-05-02,48.9,7.0
2010-05-09,47.4,7.0
2010-05-16,14.9,7.0
2010-05-23,18.5,7.0
2010-05-30,9.5,7.0
2010-06-06,7.7,7.0
2010-06-13,3.5,7.0
2010-06-20,6.7,7.0
2010-06-27,7.4,7.0
2010-07-04,53.4,7.0
2010-07-11,30.7,7.0
2010-07-18,5.2,7.0
2010-07-25,27.6,7.0
2010-08-01,9.3,7.0
2010-08-08,3.6,7.0
2010-08-15,11.5,7.0
2010-08-22,15.4,7.0
2010-08-29,2.6,7.0
2010-09-05,5.9,7.0
2010-09-12,1.1,7.0
2010-09-19,8.6,7.0
2010-09-26,18.8,7.0
2010-10-03,23.0,7.0
2010-10-10,21.3,7.0
2010-10-17,16.8,7.0
2010-10-24,9.3,7.0
2010-10-31,9.2,7.0
2010-11-07,23.7,7.0
2010-11-14,22.2,7.0
2010-11-21,27.2,7.0
2010-11-28,7.5,7.0
2010-12-05,83.1,7.0
