date,EC,days_diff
2017-01-26,33.0,0.0
2017-02-23,40.0,28.0
2017-03-17,38.0,22.0
2017-03-24,23.0,7.0
2017-04-06,19.0,13.0
2017-04-14,13.0,8.0
2017-05-02,18.0,18.0
2017-05-05,24.0,3.0
2017-05-17,8.0,12.0
2017-05-31,9.0,14.0
2017-06-16,3.0,16.0
2017-06-26,1.0,10.0
2017-07-04,3.0,8.0
2017-07-31,4.0,27.0
2017-08-14,4.0,14.0
2017-08-22,2.0,8.0
2017-08-30,4.0,8.0
2017-09-08,7.0,9.0
2017-09-18,5.0,10.0
2017-09-28,52.0,10.0
2017-10-06,10.0,8.0
2017-10-16,6.0,10.0
2017-10-24,1.0,8.0
2017-11-01,6.0,8.0
2017-11-09,9.0,8.0
2017-11-17,4.0,8.0
2017-11-27,1.0,10.0
2017-12-05,8.0,8.0
2017-12-13,16.0,8.0
2017-12-21,2.0,8.0
2017-12-29,9.0,8.0
2018-01-23,16.0,25.0
2018-02-12,6.0,20.0
2018-03-05,6.0,21.0
2018-03-13,8.0,8.0
2018-03-21,18.0,8.0
2018-03-29,18.0,8.0
2018-04-06,17.0,8.0
2018-04-16,19.0,10.0
2018-04-24,16.0,8.0
2018-05-02,7.0,8.0
2018-05-14,4.0,12.0
2018-05-22,6.0,8.0
2018-05-29,11.0,7.0
2018-06-01,4.0,3.0
2018-06-11,4.0,10.0
2018-06-19,4.0,8.0
2018-07-04,4.0,15.0
2018-07-12,4.0,8.0
2018-07-20,2.0,8.0
2018-07-30,11.0,10.0
2018-08-07,8.0,8.0
2018-08-15,6.0,8.0
2018-08-23,4.0,8.0
2018-08-31,2.0,8.0
2018-09-10,2.0,10.0
2018-09-18,2.0,8.0
2018-09-26,4.0,8.0
2018-10-04,4.0,8.0
2018-10-12,4.0,8.0
2018-10-22,4.0,10.0
2018-10-30,4.0,8.0
2018-11-07,4.0,8.0
2018-11-15,2.0,8.0
2018-11-23,13.0,8.0
2018-12-03,7.0,10.0
2019-01-16,45.3,44.0
2019-01-24,14.8,8.0
2019-02-01,26.599999999999998,8.0
2019-02-11,24.400000000000002,10.0
2019-03-01,27.900000000000002,18.0
2019-03-11,39.1,10.0
2019-03-21,13.4,10.0
2019-03-29,20.2,8.0
2019-04-08,3.2,10.0
2019-04-16,6.1000000000000005,8.0
2019-04-24,10.0,8.0
2019-05-02,17.7,8.0
2019-05-10,8.0,8.0
2019-05-20,4.8999999999999995,10.0
2019-05-28,9.2,8.0
2019-06-25,9.2,28.0
2019-07-03,17.4,8.0
2019-07-15,2.5,12.0
2019-07-23,9.799999999999999,8.0
2019-07-31,9.2,8.0
2019-08-08,2.4,8.0
2019-08-16,2.0,8.0
2019-08-26,22.4,10.0
2019-09-05,6.0,10.0
2019-09-13,1.2,8.0
2019-09-24,0.6,11.0
2019-10-02,0.9,8.0
2019-10-10,0.7,8.0
2019-10-18,1.2,8.0
2019-10-28,6.8999999999999995,10.0
2019-11-13,2.1,16.0
2019-11-21,0.5,8.0
2019-11-29,18.700000000000003,8.0
2019-12-09,41.0,10.0
2019-12-17,12.1,8.0
2019-12-26,6.3,9.0
2020-01-14,1.0,19.0
2020-01-21,19.0,7.0
2020-01-29,7.0,8.0
2020-02-10,19.0,12.0
2020-02-20,9.0,10.0
2020-02-28,85.0,8.0
2020-03-09,30.0,10.0
2020-03-18,18.0,9.0
2020-03-30,41.0,12.0
2020-04-21,21.0,22.0
2020-04-29,10.0,8.0
2020-05-07,10.0,8.0
2020-05-15,9.0,8.0
2020-05-25,2.0,10.0
2020-06-04,2.0,10.0
2020-06-09,3.0,5.0
2020-06-17,1.0,8.0
2020-06-26,3.0,9.0
2020-06-30,17.0,4.0
2020-07-08,1.0,8.0
2020-07-16,11.0,8.0
2020-07-22,59.0,6.0
2020-07-29,24.0,7.0
2020-08-06,25.0,8.0
2020-08-11,2.0,5.0
2020-08-19,0.0,8.0
2020-08-28,1.0,9.0
2020-09-07,3.0,10.0
2020-09-16,2.0,9.0
2020-09-24,1.0,8.0
2020-10-02,78.0,8.0
2020-10-12,4.0,10.0
2020-10-20,2.0,8.0
2020-10-28,1.0,8.0
2020-11-30,14.0,33.0
2020-12-28,16.0,28.0
2021-01-11,5.0,14.0
2021-01-21,1.0,10.0
2021-01-26,5.0,5.0
2021-02-08,10.0,13.0
2021-02-15,14.0,7.0
2021-02-22,8.0,7.0
2021-03-01,36.0,7.0
2021-03-08,37.0,7.0
2021-03-22,12.0,14.0
2021-03-29,8.0,7.0
2021-04-05,19.0,7.0
2021-04-12,10.0,7.0
2021-04-19,7.0,7.0
2021-04-26,12.0,7.0
2021-05-25,8.0,29.0
2021-05-31,3.0,6.0
2021-06-07,2.0,7.0
2021-06-14,1.0,7.0
2021-06-21,3.0,7.0
2021-07-05,1.0,14.0
2021-07-12,4.0,7.0
2021-07-19,2.0,7.0
2021-07-26,4.0,7.0
2021-08-02,2.0,7.0
2021-08-09,22.0,7.0
2021-08-16,7.0,7.0
2021-08-23,5.0,7.0
2021-08-30,4.0,7.0
2021-09-06,7.0,7.0
2021-09-13,2.0,7.0
2021-09-20,2.0,7.0
2021-10-11,2.0,21.0
2021-10-18,2.0,7.0
2021-10-25,3.0,7.0
2021-12-14,2.0,50.0
2021-12-20,14.0,6.0
2021-12-27,26.0,7.0
2022-01-04,4.0,8.0
2022-01-10,27.0,6.0
2022-01-17,32.0,7.0
2022-01-27,98.0,10.0
2022-01-31,28.0,4.0
2022-02-07,36.0,7.0
2022-02-14,31.0,7.0
2022-02-21,45.0,7.0
2022-02-28,22.0,7.0
2022-03-07,26.0,7.0
2022-03-22,51.0,15.0
2022-03-29,30.0,7.0
2022-04-05,48.0,7.0
2022-04-12,10.0,7.0
2022-04-19,10.0,7.0
2022-05-11,18.0,22.0
2022-05-18,10.0,7.0
2022-05-25,23.0,7.0
2022-06-01,13.0,7.0
2022-06-08,7.0,7.0
2022-06-15,3.0,7.0
2022-06-22,5.0,7.0
2022-06-29,3.0,7.0
2022-07-13,8.0,14.0
2022-07-20,9.0,7.0
2022-07-27,10.0,7.0
2022-08-03,4.0,7.0
2022-08-10,3.0,7.0
2022-08-17,1.0,7.0
2022-08-24,1.0,7.0
2022-08-31,1.0,7.0
2022-09-07,1.0,7.0
2022-09-14,0.0,7.0
2022-09-21,4.0,7.0
2022-09-28,7.0,7.0
2022-10-05,2.0,7.0
2022-10-12,4.0,7.0
2022-10-26,1.0,14.0
2022-11-02,1.0,7.0
2022-11-09,1.0,7.0
2022-11-22,1.0,13.0
2022-12-06,5.0,14.0
2022-12-13,25.0,7.0
2022-12-20,22.0,7.0
