date,SO4,days_diff
2000-01-03 08:00:00,0.13,0.0
2000-01-10 08:00:00,0.162,7.0
2000-01-17 08:00:00,0.171,7.0
2000-01-24 08:00:00,0.24,7.0
2000-01-31 08:00:00,0.248,7.0
2000-02-07 08:00:00,0.348,7.0
2000-02-14 08:00:00,0.266,7.0
2000-02-21 08:00:00,0.281,7.0
2000-02-28 08:00:00,0.322,7.0
2000-03-06 08:00:00,0.211,7.0
2000-03-13 08:00:00,0.576,7.0
2000-03-20 08:00:00,0.319,7.0
2000-03-27 08:00:00,0.43,7.0
2000-04-03 08:00:00,0.341,7.0
2000-04-10 08:00:00,0.313,7.0
2000-04-17 08:00:00,0.31,7.0
2000-04-24 08:00:00,0.32,7.0
2000-05-08 08:00:00,0.321,14.0
2000-05-15 08:00:00,0.362,7.0
2000-05-22 08:00:00,0.173,7.0
2000-05-29 08:00:00,0.056,7.0
2000-06-12 08:00:00,0.034,14.0
2000-06-19 08:00:00,0.127,7.0
2000-06-26 08:00:00,0.038,7.0
2000-07-03 08:00:00,0.03,7.0
2000-07-10 08:00:00,0.03,7.0
2000-07-17 08:00:00,0.028,7.0
2000-07-24 08:00:00,0.026,7.0
2000-07-31 08:00:00,0.006,7.0
2000-08-07 08:00:00,0.023,7.0
2000-08-14 08:00:00,0.033,7.0
2000-08-21 08:00:00,0.023,7.0
2000-08-28 08:00:00,0.025,7.0
2000-09-04 08:00:00,0.023,7.0
2000-09-11 08:00:00,0.015,7.0
2000-09-18 08:00:00,0.029,7.0
2000-09-25 08:00:00,0.024,7.0
2000-10-02 08:00:00,0.024,7.0
2000-10-09 08:00:00,0.073,7.0
2000-10-16 08:00:00,0.023,7.0
2000-10-30 08:00:00,0.026,14.0
2000-11-06 08:00:00,0.025,7.0
2000-11-13 08:00:00,0.081,7.0
2000-11-20 08:00:00,0.066,7.0
2000-11-27 08:00:00,0.079,7.0
2000-12-04 08:00:00,0.125,7.0
2000-12-11 08:00:00,0.182,7.0
2000-12-18 08:00:00,0.077,7.0
