date,SO4,days_diff
1993-01-01,0.216,0.0
1993-01-02,0.173,1.0
1993-01-03,0.067,1.0
1993-01-04,0.119,1.0
1993-01-05,0.179,1.0
1993-01-06,0.186,1.0
1993-01-07,0.19,1.0
1993-01-08,0.187,1.0
1993-01-09,0.222,1.0
1993-01-10,0.249,1.0
1993-01-11,0.226,1.0
1993-01-12,0.286,1.0
1993-01-13,0.267,1.0
1993-01-14,0.249,1.0
1993-01-15,0.038,1.0
1993-01-16,0.057,1.0
1993-01-17,0.096,1.0
1993-01-18,0.136,1.0
1993-01-19,0.083,1.0
1993-01-20,0.217,1.0
1993-01-21,0.428,1.0
1993-01-22,0.428,1.0
1993-01-23,0.329,1.0
1993-01-24,0.107,1.0
1993-01-25,0.057,1.0
1993-01-26,0.456,1.0
1993-01-27,0.461,1.0
1993-01-28,0.294,1.0
1993-01-29,0.159,1.0
1993-01-30,0.018,1.0
1993-01-31,0.027,1.0
1993-02-01,0.187,1.0
1993-02-02,0.172,1.0
1993-02-03,0.395,1.0
1993-02-04,0.323,1.0
1993-02-05,0.163,1.0
1993-02-06,0.277,1.0
1993-02-07,0.277,1.0
1993-02-08,0.293,1.0
1993-02-09,0.667,1.0
1993-02-10,0.276,1.0
1993-02-11,0.391,1.0
1993-02-12,0.167,1.0
1993-02-13,-0.023,1.0
1993-02-14,0.103,1.0
1993-02-15,0.255,1.0
1993-02-16,0.509,1.0
1993-02-17,0.467,1.0
1993-02-18,0.372,1.0
1993-02-19,0.157,1.0
1993-02-20,0.232,1.0
1993-02-21,0.516,1.0
1993-02-22,0.083,1.0
1993-02-23,-0.028,1.0
1993-02-24,0.031,1.0
1993-02-25,0.056,1.0
1993-02-26,1.17,1.0
1993-02-27,0.919,1.0
1993-02-28,0.426,1.0
1993-03-01,0.107,1.0
1993-03-02,0.053,1.0
1993-03-03,0.399,1.0
1993-03-04,0.198,1.0
1993-03-05,0.328,1.0
1993-03-06,0.286,1.0
1993-03-07,0.107,1.0
1993-03-08,0.206,1.0
1994-01-01,0.037,299.0
1994-01-02,0.413,1.0
1994-01-03,0.442,1.0
1994-01-04,0.461,1.0
1994-01-05,0.7,1.0
1994-01-06,0.578,1.0
1994-01-07,0.386,1.0
1994-01-08,0.284,1.0
1994-01-09,0.199,1.0
1994-01-10,0.147,1.0
1994-01-11,0.069,1.0
1994-01-12,0.08,1.0
1994-01-13,0.17,1.0
1994-01-14,0.382,1.0
1994-01-15,0.568,1.0
1994-01-16,0.307,1.0
1994-01-17,0.168,1.0
1994-01-18,0.189,1.0
1994-01-19,0.142,1.0
1994-01-20,0.114,1.0
1994-01-21,0.076,1.0
1994-01-22,0.285,1.0
1994-01-23,0.379,1.0
1994-01-24,0.287,1.0
1994-01-25,0.569,1.0
1994-01-26,0.862,1.0
1994-01-27,0.257,1.0
1994-01-28,0.197,1.0
1994-01-29,0.177,1.0
1994-01-30,0.147,1.0
1994-01-31,0.029,1.0
1994-02-01,0.081,1.0
1994-02-02,0.043,1.0
1994-02-03,0.129,1.0
1994-02-04,0.063,1.0
1994-02-05,0.059,1.0
1994-02-06,0.327,1.0
1994-02-07,0.057,1.0
1994-02-08,0.053,1.0
1994-02-09,0.018,1.0
1994-02-10,0.057,1.0
1994-02-11,0.073,1.0
1994-02-12,0.02,1.0
1994-02-13,0.019,1.0
1994-02-15,0.078,2.0
1994-02-16,0.077,1.0
1994-02-17,-0.001,1.0
1994-02-18,0.136,1.0
1994-02-19,0.096,1.0
1994-02-20,0.14,1.0
1994-02-21,0.21,1.0
1994-02-22,0.425,1.0
1994-02-23,0.447,1.0
1994-02-24,0.277,1.0
1994-02-25,0.263,1.0
1994-02-26,0.177,1.0
1994-02-27,0.069,1.0
1994-02-28,0.16,1.0
1994-03-01,0.117,1.0
1994-03-02,0.06,1.0
1994-03-03,0.115,1.0
1994-03-04,0.156,1.0
1994-03-05,0.107,1.0
1994-03-06,0.038,1.0
1994-03-07,0.198,1.0
1994-03-08,0.745,1.0
1995-01-01,0.377,299.0
1995-01-02,0.197,1.0
