date,nwvf_time_integral,EC,days_diff
2017-01-31,0.0,33.0,0.0
2017-02-28,-719146.3608638307,40.0,28.0
2017-03-31,1559331.938383421,61.0,29.0
2017-04-30,-1720141.5657869643,32.0,21.0
2017-05-31,-4853443.609325786,59.0,47.0
2017-06-30,-2324062.567017069,4.0,26.0
2017-07-31,1005204.1070363475,7.0,35.0
2017-08-31,3985250.905109085,10.0,30.0
2017-09-30,19821948.597155668,64.0,29.0
2017-10-31,10400140.145132264,17.0,26.0
2017-11-30,-1016933.3401297873,20.0,34.0
2017-12-31,-1197039.997986062,35.0,32.0
2018-01-31,1201723.6858905659,16.0,25.0
2018-02-28,4374066.419542279,6.0,20.0
2018-03-31,-2491068.95507255,50.0,45.0
2018-04-30,26269.988170644792,52.0,26.0
2018-05-31,15967183.993914481,28.0,35.0
2018-06-30,-528110.3629884799,12.0,21.0
2018-07-31,29892519.447618883,21.0,41.0
2018-08-31,7978869.960768495,20.0,32.0
2018-09-30,7746079.977571671,8.0,26.0
2018-10-31,5468448.6874617515,16.0,34.0
2018-11-30,8461519.783218166,19.0,24.0
2018-12-31,-572965.7368229235,7.0,10.0
2019-01-31,143736.5691214156,60.099999999999994,52.0
2019-02-28,350509.56034306413,51.0,18.0
2019-03-31,1739652.5708236287,100.60000000000001,46.0
2019-04-30,3782310.6828248454,19.3,26.0
2019-05-31,-5228897.649444031,39.8,34.0
2019-06-30,-567240.0647621835,9.2,28.0
2019-07-31,-1529683.0160724805,38.9,36.0
2019-08-31,-4030650.4435892287,26.799999999999997,26.0
2019-09-30,14150922.788594207,7.8,29.0
2019-10-31,-6668023.3891604,9.7,34.0
2019-11-30,2794850.9718842236,21.300000000000004,32.0
2019-12-31,23953.371334707714,59.4,27.0
2020-01-31,2200782.077339235,27.0,34.0
2020-02-29,1718703.0624398605,113.0,30.0
2020-03-31,1884260.9134677225,89.0,31.0
2020-04-30,-1261745.3561930114,31.0,30.0
2020-05-31,-271560.62258785765,21.0,26.0
2020-06-30,10192699.262033906,26.0,36.0
2020-07-31,8163791.697142813,95.0,29.0
2020-08-31,7948228.360566098,28.0,30.0
2020-09-30,8775521.842610229,6.0,27.0
2020-10-31,9485779.184589116,85.0,34.0
2020-11-30,2985922.2456612433,14.0,33.0
2020-12-31,1936225.9078037706,16.0,28.0
2021-01-31,4416394.387625725,11.0,29.0
2021-02-28,906904.1750442775,32.0,27.0
2021-03-31,3667352.3289805455,93.0,35.0
2021-04-30,1629620.0443302416,48.0,28.0
2021-05-31,660781.5195578041,11.0,35.0
2021-06-30,8362999.898611216,6.0,21.0
2021-07-31,13696784.47598616,11.0,35.0
2021-08-31,3659631.745727904,40.0,35.0
2021-09-30,4713202.701644198,11.0,21.0
2021-10-31,-1277543.0105771592,7.0,35.0
2021-11-30,0.0,0.0,0.0
2021-12-31,849117.6672751307,42.0,63.0
2022-01-31,1393030.5455014955,189.0,35.0
2022-02-28,216042.88576647366,134.0,28.0
2022-03-31,4569415.973996447,107.0,29.0
2022-04-30,-770598.4354968839,68.0,21.0
2022-05-31,2143128.652506674,51.0,36.0
2022-06-30,10360066.182724904,31.0,35.0
2022-07-31,102234269.21133254,27.0,28.0
2022-08-31,154537737.84243646,10.0,35.0
2022-09-30,123609093.2759228,12.0,28.0
2022-10-31,123789647.29499029,7.0,28.0
2022-11-30,119368588.46302634,3.0,27.0
2022-12-31,123789647.29499029,52.0,28.0
