date,nwvf_time_integral,SO4,days_diff
2000-01-31,565324.6542651885,0.9510000000000001,28.0
2000-02-29,2016022.7656343575,1.217,28.0
2000-03-31,-828243.2035132004,1.536,28.0
2000-04-30,-761702.6002623667,1.284,28.0
2000-05-31,6365969.797996754,0.912,35.0
2000-06-30,1501235.4734858214,0.199,28.0
2000-07-31,14468526.98751067,0.12,35.0
2000-08-31,2233270.8885236527,0.10400000000000001,28.0
2000-09-30,8844652.066705575,0.091,28.0
2000-10-31,21187513.154990092,0.146,35.0
2000-11-30,4616628.656815585,0.251,28.0
2000-12-31,-189379.19037428065,0.476,28.0
2001-01-31,5072275.050021412,0.961,35.0
2001-02-28,4358425.851718984,0.627,28.0
2001-03-31,-2789203.1888029035,1.185,28.0
2001-04-30,2543074.39784657,1.2229999999999999,35.0
2001-05-31,-104839.62276696856,0.853,28.0
2001-06-30,4963079.736014638,0.232,28.0
2001-07-31,5384600.555819704,0.11,35.0
2001-08-31,1244142.2284048193,0.14200000000000002,28.0
2001-09-30,18139975.265917294,0.121,28.0
2001-10-31,1758209.3281677896,0.383,35.0
2001-11-30,3132393.629740743,0.571,28.0
2001-12-31,9931935.37639769,0.515,35.0
2002-01-31,2997815.153059165,1.414,28.0
2002-02-28,-330742.1947982744,0.923,28.0
2002-03-31,-1181409.1062652403,1.2409999999999999,28.0
2002-04-30,11635452.108413449,1.586,35.0
2002-05-31,1232653.1233449937,0.668,28.0
2002-06-30,1341131.9956141906,0.126,28.0
2007-07-31,-2610335.092396732,0.042,1862.0
2007-08-31,6391862.259570094,0.105,28.0
2007-09-30,846641.6772379305,0.16399999999999998,28.0
2007-10-31,12735023.046927903,0.219,28.0
2007-12-31,1248481.5259549918,0.138,70.0
2008-01-31,7738264.92095137,0.78,28.0
2008-02-29,6302159.779767819,1.562,28.0
2008-03-31,-1661956.4362041592,2.049,35.0
2008-04-30,-1957642.266418699,1.573,28.0
2008-05-31,-2609353.2934758826,1.199,28.0
2008-06-30,-2083933.5341594638,0.34099999999999997,35.0
2008-07-31,3940215.6802673656,0.145,28.0
2008-08-31,31788.905180067755,0.113,28.0
2008-09-30,15444008.85566604,0.22299999999999998,35.0
2008-10-31,2705848.732716604,0.386,28.0
2008-11-30,907475.0932665775,0.988,28.0
2008-12-31,10499499.831543997,0.96,35.0
2009-01-31,2353599.5456151455,1.235,28.0
2009-02-28,5485013.510284182,1.23,28.0
2009-03-31,2054077.499509639,2.011,35.0
2009-04-30,1492237.9916822247,2.505,28.0
2009-05-31,4633499.093543983,0.627,28.0
2009-06-30,1167277.78385528,0.342,35.0
2009-07-31,-4814543.147900761,0.16899999999999998,28.0
2009-08-31,10649208.236886252,0.114,35.0
2009-09-30,9193460.467089389,0.271,28.0
2009-10-31,-1013910.3361511822,0.22,28.0
2009-11-30,10646218.234949928,0.22,35.0
2009-12-31,1110460.1188303821,0.32599999999999996,28.0
2010-01-31,6595020.2253863495,0.609,28.0
2010-02-28,952957.3606654843,0.177,28.0
2010-03-31,-3247888.2453493546,0.8069999999999999,35.0
2010-04-30,3693999.278333664,0.82,28.0
2010-05-31,3825195.254389816,0.691,35.0
2010-06-30,-2907831.493463133,0.21,28.0
2010-07-31,7194126.832463858,0.003,28.0
2010-08-31,3141258.678406356,0.108,35.0
2010-09-30,1970535.7782633966,0.094,28.0
2010-10-31,4725967.854300575,0.159,28.0
2010-11-30,-4330369.941326464,0.262,35.0
2010-12-31,-2620153.217258306,0.3,28.0
2011-01-31,1835209.9843891615,0.8600000000000001,35.0
2011-02-28,8343638.19388081,0.596,28.0
2011-03-31,6356135.992277809,1.002,28.0
2011-04-30,9638798.642920248,1.1179999999999999,28.0
2011-05-31,4209263.407046011,0.6970000000000001,35.0
2011-06-30,460095.9915270241,0.22699999999999998,28.0
2011-07-31,3609402.9656182984,0.178,28.0
2011-08-31,4586675.036474848,0.141,35.0
2011-09-30,12792359.126622334,0.044,28.0
2011-10-31,8667143.623766875,0.134,35.0
2011-11-30,9026366.756791364,0.322,28.0
2011-12-31,5485018.90619783,0.537,28.0
2012-01-31,4051699.071095659,0.69,21.0
2012-03-31,7380799.165777174,1.0130000000000001,70.0
2012-04-30,-3326264.804941371,0.865,35.0
2012-05-31,2072855.1541021434,0.552,28.0
2012-06-30,-3569997.605160372,0.02,7.0
2012-07-31,-2521265.250064847,0.128,56.0
2012-08-31,-1636927.8374292103,0.192,28.0
2012-09-30,10490673.208139215,0.08199999999999999,28.0
2012-10-31,-1073781.6944135616,0.188,35.0
2012-11-30,2443384.0798469763,0.29,28.0
2012-12-31,3750387.4044062737,0.266,28.0
2013-01-31,-261912.17126658466,0.875,35.0
2013-02-28,2811168.157534166,0.381,28.0
2013-03-31,-4509820.447252519,0.608,28.0
2013-04-30,791702.0963263153,0.899,35.0
2013-05-31,4580992.318803148,0.38,28.0
2013-06-30,9656207.552964883,0.17400000000000002,28.0
2013-07-31,18897404.059730437,0.10300000000000001,35.0
2013-08-31,16954722.262514174,0.024,28.0
2013-09-30,21359216.972287882,0.119,35.0
2013-10-31,2879931.001708545,0.075,28.0
2013-11-30,1226993.3528301865,0.34,28.0
2013-12-31,2391063.791785865,0.384,35.0
2014-01-31,4427452.702645835,0.139,28.0
2014-02-28,5072516.446861594,0.517,28.0
2014-03-31,3504568.6644026884,1.287,35.0
2014-04-30,785022.843800336,1.021,28.0
2014-05-31,798354.9412346304,0.539,28.0
2014-06-30,-474571.42456129694,0.167,35.0
2014-07-31,12962125.422841996,0.081,28.0
2014-08-31,-2553763.6981372507,0.022,28.0
2014-09-30,5661926.628483755,0.013,35.0
2014-10-31,6118326.429618533,0.45,14.0
2014-12-31,928801.8122079186,0.3,63.0
2015-06-30,-3958878.2499212204,0.16,196.0
2015-07-31,-12446435.738497986,,
2015-08-31,9661256.981624724,0.078,42.0
2015-09-30,10442196.884897282,0.10400000000000001,28.0
2015-10-31,11122707.405448884,0.091,28.0
2015-11-30,6439865.280199843,0.498,35.0
2015-12-31,209721.97305989853,0.302,28.0
2016-01-31,8923530.340533052,0.46900000000000003,28.0
2016-02-29,2468487.9621616667,0.654,35.0
2016-03-31,4554653.047635731,0.645,28.0
2016-04-30,-2590258.2363759065,0.893,28.0
2016-05-31,8781801.076851036,0.34099999999999997,35.0
2016-06-30,1659388.4964695096,0.107,28.0
2016-07-31,6999317.345177036,0.088,28.0
2016-08-31,4916350.216363492,0.088,35.0
2016-09-30,15326752.595670762,0.071,28.0
2016-10-31,20305585.87354594,0.10400000000000001,35.0
2016-11-30,10396033.310490308,0.105,28.0
2016-12-31,3626051.8468758976,0.435,28.0
2017-01-31,3435355.0955758677,0.491,35.0
2017-02-28,5936588.349106887,0.513,28.0
2017-03-31,1735710.5543873145,0.812,28.0
2017-04-30,-2875398.5364916804,0.762,28.0
2017-05-31,-1014496.3693803037,0.37,14.0
2018-01-31,5535854.500056638,0.5609999999999999,265.0
2018-02-28,12649171.998383457,0.15400000000000003,28.0
2018-03-31,-1918579.4227339758,0.429,28.0
2018-04-30,-579058.0870105207,1.079,35.0
2018-05-31,15664312.341458604,0.403,28.0
2018-06-30,1643740.1098581175,0.193,28.0
2018-07-31,31517957.332955312,0.16699999999999998,35.0
2018-09-30,-71439.17086776602,0.044,56.0
2018-10-31,4942617.3415859835,0.241,35.0
2018-11-30,9853980.224415861,0.17099999999999999,21.0
2018-12-31,4598204.355557146,0.628,42.0
2019-01-31,381182.7726519717,0.753,28.0
2019-02-28,1399905.4542165734,0.654,28.0
2019-03-31,-191908.8554607837,1.046,28.0
2019-06-30,-4471098.021930136,0.063,91.0
2019-07-31,-3541477.530293453,0.11699999999999999,28.0
2019-08-31,-357382.1156078633,0.099,35.0
2019-09-30,13758413.414561786,0.122,28.0
2019-10-31,-6275514.015127977,0.16199999999999998,35.0
2019-11-30,-396470.23346628714,0.078,21.0
2019-12-31,2280198.6176628303,0.76,42.0
2020-01-31,2637782.1688039973,0.8029999999999999,28.0
2020-02-29,2495589.8189007835,1.1280000000000001,28.0
2020-03-31,1093229.262607528,0.594,35.0
2020-04-30,-2098657.994882947,0.773,28.0
2020-05-31,-298076.9631481499,0.335,28.0
2020-06-30,10808272.136918865,0.168,35.0
2020-07-31,5868019.6730043795,0.149,28.0
2020-08-31,10367956.607413955,0.14700000000000002,21.0
2020-09-30,10589539.34593395,0.143,42.0
2020-10-31,6642304.635862536,0.12,28.0
2020-11-30,13231900.781720912,0.384,35.0
2020-12-31,4768879.569844164,0.455,28.0
2021-01-31,4562301.4310598355,0.236,28.0
2021-02-28,760997.1316101681,0.20500000000000002,28.0
2021-03-31,3667352.328980545,0.964,35.0
2021-04-30,1629620.0443302416,0.778,28.0
2021-05-31,-3750473.2812318085,0.554,35.0
2021-06-30,11724731.731412318,0.168,28.0
2021-07-31,10335052.64318506,0.299,28.0
2021-08-31,3659631.745727904,0.129,35.0
2021-09-30,11368210.929806316,0.21600000000000003,28.0
2021-10-31,3933335.645201939,0.13,28.0
2021-11-30,2850969.869577329,0.523,28.0
2021-12-31,580934.6577350141,0.35,35.0
