date,nwvf_time_integral
2017-01-26,0.0
2017-02-23,-719146.3608638307
2017-03-17,630272.1082016526
2017-03-24,929059.8301817683
2017-04-06,-641428.6778828059
2017-04-14,-1078712.8879041583
2017-05-02,1295107.647166084
2017-05-05,152946.46128656212
2017-05-17,-3151417.984715172
2017-05-31,-3150079.73306326
2017-06-16,-919068.1178834398
2017-06-26,-1404994.4491336292
2017-07-04,1442492.3709644014
2017-07-31,-437288.2639280539
2017-08-14,246007.3567562414
2017-08-22,1222963.6925925235
2017-08-30,2516279.85576032
2017-09-08,6936821.188930892
2017-09-18,2725999.382998033
2017-09-28,10159128.025226742
2017-10-06,6616865.15595332
2017-10-16,3499857.720104698
2017-10-24,283417.2690742471
2017-11-01,-166354.00304000144
2017-11-09,829984.2698790482
2017-11-17,541071.347572959
2017-11-27,-2221634.954541793
2017-12-05,-421999.9825142524
2017-12-13,-446170.1666904437
2017-12-21,1721276.713111219
2017-12-29,-2050146.561892585
2018-01-23,1201723.6858905659
2018-02-12,4374066.419542279
2018-03-05,-351867.7567744206
2018-03-13,-735791.2439864469
2018-03-21,-91432.68375474474
2018-03-29,-1311977.2705569381
2018-04-06,-1190041.6850511706
2018-04-16,1474779.4233138417
2018-04-24,-258467.75009202625
2018-05-02,1020246.33234775
2018-05-14,8871202.368175015
2018-05-22,3728907.57351037
2018-05-29,2346827.719881345
2018-06-01,126377.19162368542
2018-06-11,-2949238.7739040065
2018-06-19,2294751.219291841
2018-07-04,2192615.2196976673
2018-07-12,7129250.221970339
2018-07-20,7691644.308940228
2018-07-30,12879009.697010648
2018-08-07,2835095.670835007
2018-08-15,-2022460.9254502992
2018-08-23,2198180.014754122
2018-08-31,4968055.200629665
2018-09-10,7612286.644088097
2018-09-18,743078.9093050243
2018-09-26,-609285.5758214504
2018-10-04,-1659184.5939091477
2018-10-12,198388.96955106506
2018-10-22,7572077.980347677
2018-10-30,-642833.6685278437
2018-11-07,3136134.0593048744
2018-11-15,3257177.3043052983
2018-11-23,2068208.419607994
2018-12-03,-572965.7368229235
2019-01-16,-63813.14841656796
2019-01-24,207549.71753798355
2019-02-01,183935.00107553307
2019-02-11,166574.55926753103
2019-03-01,277383.56633312395
2019-03-11,-1670782.5479324819
2019-03-21,1829204.3690982086
2019-03-29,1303847.183324778
2019-04-08,-526365.3072019794
2019-04-16,551278.8952553296
2019-04-24,3757397.094771495
2019-05-02,-1240944.575583966
2019-05-10,-2800262.935878046
2019-05-20,1121174.3479167852
2019-05-28,-2308864.485898804
2019-06-25,-567240.0647621835
2019-07-03,-1765604.086802692
2019-07-15,-2889942.644262433
2019-07-23,1917225.125094232
2019-07-31,1208638.5898984128
2019-08-08,-5491361.152021989
2019-08-16,-2232850.086849933
2019-08-26,3693560.7952826936
2019-09-05,8738017.225268604
2019-09-13,6964974.830834128
2019-09-24,-1552069.2675085247
2019-10-02,-3075900.9125266667
2019-10-10,12442.472604914234
2019-10-18,-1153841.1220034664
2019-10-28,-2450723.827235182
2019-11-13,432841.1250814933
2019-11-21,2574526.759055784
2019-11-29,-212516.9122530537
2019-12-09,256649.7146896162
2019-12-17,578631.3950301162
2019-12-26,-811327.7383850247
2020-01-14,1541441.3346974477
2020-01-21,740215.2907277459
2020-01-29,-80874.54808595852
2020-02-10,2059476.6386227817
2020-02-20,-392922.0687641742
2020-02-28,52148.49258125307
2020-03-09,471160.2793494839
2020-03-18,-476848.9689521
2020-03-30,1889949.6030703387
2020-04-21,1336045.0903936673
2020-04-29,-2597790.4465866787
2020-05-07,835605.6104853807
2020-05-15,-1177009.2452777221
2020-05-25,69843.01220448373
2020-06-04,5338870.289894056
2020-06-09,1574587.0135491237
2020-06-17,2752360.5776789477
2020-06-26,2092453.3611235835
2020-06-30,-1565571.9802118053
2020-07-08,-1030016.1429258687
2020-07-16,1812927.0628404352
2020-07-22,3141434.5533549525
2020-07-29,4239446.223873294
