date,nwvf_time_integral
2000-01-03,0.0
2000-01-10,1594351.2704016299
2000-01-17,371327.09570551495
2000-01-24,-1342027.875880717
2000-01-31,-58325.83596123928
2000-02-07,-92472.44459470923
2000-02-14,784111.9580370794
2000-02-21,-369507.37262770126
2000-02-28,1693890.6248196885
2000-03-06,-900894.6934952142
2000-03-13,-866871.2468231608
2000-03-20,2177279.7403061897
2000-03-27,-1237757.0035010152
2000-04-03,-868619.3996828379
2000-04-10,1985814.4082653278
2000-04-17,-1403705.7750526653
2000-04-24,-475191.8337921912
2000-05-08,1867740.3989508648
2000-05-15,634296.9154284776
2000-05-22,3313164.2551200795
2000-05-29,550768.228497332
2000-06-12,2622973.791979414
2000-06-19,-1175880.1793944745
2000-06-26,54141.86090088197
2000-07-03,827884.9806110684
2000-07-10,-1090438.7439039242
2000-07-17,4910635.683541373
2000-07-24,10073020.518573672
2000-07-31,-252575.45131151986
2000-08-07,2477909.9599772603
2000-08-14,1223327.131312134
2000-08-21,-2968623.698259382
2000-08-28,1500657.4954936407
2000-09-04,665912.925380135
2000-09-11,1988814.2219572098
2000-09-18,3510575.484885595
2000-09-25,2679349.4344826355
2000-10-02,1786994.284996474
2000-10-09,8732368.814464986
2000-10-16,6105497.096496562
2000-10-30,4562652.95903207
2000-11-06,452814.00504737004
2000-11-13,231861.12470718822
2000-11-20,2296308.9515323807
2000-11-27,1635644.575528646
2000-12-04,-21911.02876630201
2000-12-11,-187624.0509451009
2000-12-18,333540.6406381548
2000-12-25,-313384.75130103255
2001-01-01,-730593.5633543461
2001-01-08,850490.6612211886
2001-01-15,1845227.5248021542
2001-01-22,1491925.6320127633
2001-01-29,1615224.7953396514
2001-02-05,2270519.0204517436
2001-02-12,760378.930300229
2001-02-19,1859325.4472153953
2001-02-26,-531797.5462483846
2001-03-05,-934310.2935156955
2001-03-12,-27290.09819459195
2001-03-19,-1128519.8432776048
2001-03-26,-699082.9538150111
2001-04-02,-114323.60939395381
2001-04-09,-111986.51417104786
2001-04-16,383338.2832967227
2001-04-23,-837170.5207202239
2001-04-30,3223216.7588350726
2001-05-07,1652130.7059103546
2001-05-14,-324472.524245074
2001-05-21,-319740.366070593
2001-05-28,-1112757.4383616562
2001-06-04,-372897.13345261745
2001-06-11,2696545.188799958
2001-06-18,33701.05477446539
2001-06-25,2605730.6258928324
2001-07-02,-884447.4409385844
2001-07-09,1167961.3217320365
2001-07-16,3137855.275587006
2001-07-23,588446.305175048
2001-07-30,1374785.0942641979
2001-08-06,-753015.7840623169
2001-08-13,2576287.927639986
2001-08-20,49511.76961670398
2001-08-27,-628641.6847895538
2001-09-03,3408739.9077800363
2001-09-10,2804835.940161924
2001-09-17,9074042.881666875
2001-09-24,2852356.5363084567
2001-10-01,-1764602.429664752
2001-10-08,-820312.4147699475
2001-10-15,4784219.443582201
2001-10-22,-508002.77776809415
2001-10-29,66907.50678838184
2001-11-05,-223393.51895151072
2001-11-12,-604845.5382830817
2001-11-19,-698712.7545175443
2001-11-26,4659345.44149288
2001-12-03,6566764.29757263
2001-12-10,5340729.8862640085
2001-12-17,1662524.083502382
2001-12-24,-2433728.390983473
2001-12-31,-1204354.4999578581
2002-01-07,3080692.9904399225
2002-01-14,1582934.0492758506
2002-01-21,-736185.289178792
2002-01-28,-929626.5974778162
2002-02-04,-446404.58916118694
2002-02-11,30520.72720520963
2002-02-18,668102.7449263118
2002-02-25,-582961.0777686088
2002-03-04,-170377.76396617136
2002-03-11,-1082604.4384887354
2002-03-18,11243.703113193675
2002-03-25,60329.39307647254
2002-04-01,806609.7674316097
2002-04-08,2799342.52825597
2002-04-15,1911874.147763755
2002-04-22,2848635.059251966
2002-04-29,3268990.6057101483
2002-05-06,1186836.685468474
2002-05-13,-285819.3244048789
2002-05-20,-1320517.2729397926
2002-05-27,1652153.0352211911
2002-06-03,1115251.747665123
2002-06-10,2620184.7494834526
2002-06-17,-1816371.1127845005
2002-06-24,-577933.3887498847
2007-07-23,-1807310.615040385
2007-07-30,-803024.477356347
2007-08-06,4008732.372481708
2007-08-13,401728.6968463923
2007-08-20,755448.6564620116
2007-08-27,1225952.5337799818
2007-09-03,-2221052.906957115
