date,nwvf_time_integral,EC,days_diff
2008-08-10,,24.2,0.0
2008-08-24,4799081.899801038,26.5,14.0
2008-09-07,-1340493.0533254468,28.8,14.0
2008-09-21,14200870.236409266,15.8,14.0
2008-10-05,1725457.6637178233,8.8,14.0
2008-10-19,2674160.1074080663,15.9,14.0
2008-11-02,1758262.4071568646,12.7,14.0
2008-11-16,1475653.2865330528,43.9,14.0
2008-11-30,-1009487.445801585,19.0,14.0
2008-12-14,4000559.783134276,27.3,14.0
2008-12-28,6850289.825359711,32.3,14.0
2009-01-11,-1769852.0343466147,98.1,14.0
2009-01-25,3961357.216192876,10.9,14.0
2009-02-08,2897736.5407446167,42.7,14.0
2009-02-22,2828358.39626103,32.5,14.0
2009-03-01,-288550.7140499916,85.4,7.0
2009-03-08,2065321.7405875225,108.7,7.0
2009-05-17,1797417.5675576043,19.1,70.0
2009-05-24,-362154.7210584055,18.7,7.0
2009-05-31,890099.7087050265,9.0,7.0
2009-06-14,-3561507.1963247387,36.4,14.0
2009-06-21,2236986.2452151254,11.7,7.0
2009-06-28,1500640.1301561217,53.6,7.0
2009-07-05,-38870.572432195564,34.5,7.0
2009-07-12,-449187.4386727065,31.4,7.0
2009-07-19,-3371994.623531368,23.0,7.0
2009-07-26,-1122106.4373898134,12.4,7.0
2009-08-02,4284806.988228896,1.9,7.0
2009-08-16,2221660.8750283634,10.3,14.0
2009-08-30,3876510.725496629,40.1,14.0
2009-09-13,5486819.182374968,34.3,14.0
2009-09-27,4373333.560586378,6.4,14.0
2009-10-11,-5028266.451199277,72.2,14.0
2009-10-25,3807644.148251892,41.8,14.0
2009-11-15,2307408.772619748,35.7,21.0
2009-11-29,2941964.7778847665,1.0,14.0
2009-12-13,3370444.5264970227,17.7,14.0
2009-12-27,-2208608.689162214,36.6,14.0
2010-01-10,-1177474.7805163604,82.6,14.0
2010-01-24,7078974.282226114,56.6,14.0
2010-02-07,3084800.0940642226,12.6,14.0
2010-02-21,-1416291.5144516495,30.3,14.0
2010-02-28,-851206.3529453583,34.7,7.0
2010-03-07,711114.8849993224,50.8,7.0
2010-03-14,-505621.2929058601,47.2,7.0
2010-03-21,-957640.3081423453,58.7,7.0
2010-03-28,-1512422.3771716326,26.7,7.0
2010-04-04,446515.04737112223,34.2,7.0
2010-04-11,3652380.6625891873,113.2,7.0
2010-04-18,793113.9396306386,36.5,7.0
2010-04-25,-1330241.6923114932,19.6,7.0
2010-05-02,-515955.1402897008,48.9,7.0
2010-05-09,244896.59096773338,47.4,7.0
2010-05-16,2319229.389995806,14.9,7.0
2010-05-23,3492792.1197547936,18.5,7.0
2010-05-30,-1770299.992199017,9.5,7.0
2010-06-06,-705290.7927052529,7.7,7.0
2010-06-13,-2081355.4028696702,3.5,7.0
2010-06-20,-482186.06609643355,6.7,7.0
2010-06-27,578688.3240105506,7.4,7.0
2010-07-04,-1209885.2004854246,53.4,7.0
2010-07-11,3478594.3369198157,30.7,7.0
2010-07-18,2327409.8669745475,5.2,7.0
2010-07-25,1571355.499162494,27.6,7.0
2010-08-01,5386897.678988055,9.3,7.0
2010-08-08,3507468.433219497,3.6,7.0
2010-08-15,2658892.2756239423,11.5,7.0
2010-08-22,-4631579.134166296,15.4,7.0
2010-08-29,-3019306.5066242456,2.6,7.0
2010-09-05,700326.2302990482,5.9,7.0
2010-09-12,1569656.770501542,1.1,7.0
2010-09-19,-233629.68507727658,8.6,7.0
2010-09-26,-267447.0924350493,18.8,7.0
2010-10-03,3002923.611143648,23.0,7.0
2010-10-10,7058924.950564448,21.3,7.0
2010-10-17,-3625905.2660218137,16.8,7.0
2010-10-24,-1136079.562452219,9.3,7.0
2010-10-31,-1164321.3196021018,9.2,7.0
2010-11-07,-872820.9840819775,23.7,7.0
2010-11-14,-677553.5912436353,22.2,7.0
2010-11-21,151388.9251184658,27.2,7.0
2010-11-28,-2094025.431052635,7.5,7.0
2010-12-05,-701003.6440345774,83.1,7.0
2010-12-12,-605940.369336715,19.6,7.0
2011-01-02,1247873.3249206329,47.0,21.0
2011-01-09,-1258200.3820978922,64.2,7.0
2011-01-16,-717027.3127221313,42.1,7.0
2011-01-23,2630991.614230381,59.3,7.0
2011-01-30,-292789.7619383171,144.6,7.0
2011-02-06,903381.4544453177,5.5,7.0
2011-02-13,498948.6461331264,1.6,7.0
2011-02-20,1083590.9472149191,1.6,7.0
2011-02-27,5583681.665163485,79.9,7.0
2011-03-06,1298290.8074738143,32.3,7.0
2011-03-13,1233908.1647566042,61.5,7.0
2011-03-20,5242908.344891413,43.5,7.0
2011-03-27,-531339.6999543139,35.3,7.0
2011-04-03,985957.2647386774,66.5,7.0
2011-04-10,1841170.2590168158,49.0,7.0
2011-04-17,3338734.7788124676,29.4,7.0
2011-04-24,2369917.7639132915,33.3,7.0
2011-05-01,1928246.803905629,27.5,7.0
2011-08-07,-2851185.6311800373,19.7,98.0
2011-08-14,-2611470.2400114643,79.7,7.0
2011-08-21,5199350.813775876,16.9,7.0
2011-09-11,6241484.791435541,13.1,21.0
2011-09-18,1367852.6976896017,3.3,7.0
2011-09-25,2756014.8445874923,45.1,7.0
2011-10-02,3138180.694262168,12.6,7.0
2011-10-09,-651588.943929924,7.5,7.0
2011-10-16,2591292.3182317093,4.0,7.0
2011-10-23,176716.2998092193,21.3,7.0
2011-10-30,3855978.5002302704,26.8,7.0
2011-11-13,7271843.579525753,20.3,14.0
