date,nwvf_time_integral,EC,days_diff
2017-01-29,0.0,33.0,0.0
2017-02-05,0.0,0.0,0.0
2017-02-12,0.0,0.0,0.0
2017-02-19,0.0,0.0,0.0
2017-02-26,-719146.3608638307,40.0,28.0
2017-03-05,0.0,0.0,0.0
2017-03-12,0.0,0.0,0.0
2017-03-19,630272.1082016526,38.0,22.0
2017-03-26,929059.8301817683,23.0,7.0
2017-04-02,0.0,0.0,0.0
2017-04-09,-641428.6778828059,19.0,13.0
2017-04-16,-1078712.8879041583,13.0,8.0
2017-04-23,0.0,0.0,0.0
2017-04-30,0.0,0.0,0.0
2017-05-07,1448054.108452646,42.0,21.0
2017-05-14,0.0,0.0,0.0
2017-05-21,-3151417.984715172,8.0,12.0
2017-05-28,0.0,0.0,0.0
2017-06-04,-3150079.73306326,9.0,14.0
2017-06-11,0.0,0.0,0.0
2017-06-18,-919068.1178834398,3.0,16.0
2017-06-25,0.0,0.0,0.0
2017-07-02,-1404994.4491336292,1.0,10.0
2017-07-09,1442492.3709644014,3.0,8.0
2017-07-16,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0
2017-07-30,0.0,0.0,0.0
2017-08-06,-437288.2639280539,4.0,27.0
2017-08-13,0.0,0.0,0.0
2017-08-20,246007.3567562414,4.0,14.0
2017-08-27,1222963.6925925235,2.0,8.0
2017-09-03,2516279.85576032,4.0,8.0
2017-09-10,6936821.188930892,7.0,9.0
2017-09-17,0.0,0.0,0.0
2017-09-24,2725999.382998033,5.0,10.0
2017-10-01,10159128.025226742,52.0,10.0
2017-10-08,6616865.15595332,10.0,8.0
2017-10-15,0.0,0.0,0.0
2017-10-22,3499857.720104698,6.0,10.0
2017-10-29,283417.2690742471,1.0,8.0
2017-11-05,-166354.00304000144,6.0,8.0
2017-11-12,829984.2698790482,9.0,8.0
2017-11-19,541071.347572959,4.0,8.0
2017-11-26,0.0,0.0,0.0
2017-12-03,-2221634.954541793,1.0,10.0
2017-12-10,-421999.9825142524,8.0,8.0
2017-12-17,-446170.1666904437,16.0,8.0
2017-12-24,1721276.713111219,2.0,8.0
2017-12-31,-2050146.561892585,9.0,8.0
2018-01-07,0.0,0.0,0.0
2018-01-14,0.0,0.0,0.0
2018-01-21,0.0,0.0,0.0
2018-01-28,1201723.6858905659,16.0,25.0
2018-02-04,0.0,0.0,0.0
2018-02-11,0.0,0.0,0.0
2018-02-18,4374066.419542279,6.0,20.0
2018-02-25,0.0,0.0,0.0
2018-03-04,0.0,0.0,0.0
2018-03-11,-351867.7567744206,6.0,21.0
2018-03-18,-735791.2439864469,8.0,8.0
2018-03-25,-91432.68375474474,18.0,8.0
2018-04-01,-1311977.2705569381,18.0,8.0
2018-04-08,-1190041.6850511706,17.0,8.0
2018-04-15,0.0,0.0,0.0
2018-04-22,1474779.4233138417,19.0,10.0
2018-04-29,-258467.75009202625,16.0,8.0
2018-05-06,1020246.33234775,7.0,8.0
2018-05-13,0.0,0.0,0.0
2018-05-20,8871202.368175015,4.0,12.0
2018-05-27,3728907.57351037,6.0,8.0
2018-06-03,2473204.9115050305,15.0,10.0
