date,nwvf_time_integral,SO4,days_diff
2000-01-09,,0.13,0.0
2000-01-16,1594351.2704016299,0.162,7.0
2000-01-23,371327.09570551495,0.171,7.0
2000-01-30,-1342027.875880717,0.24,7.0
2000-02-06,-58325.83596123928,0.248,7.0
2000-02-13,-92472.44459470923,0.348,7.0
2000-02-20,784111.9580370794,0.266,7.0
2000-02-27,-369507.37262770126,0.281,7.0
2000-03-05,1693890.6248196885,0.322,7.0
2000-03-12,-900894.6934952142,0.211,7.0
2000-03-19,-866871.2468231608,0.576,7.0
2000-03-26,2177279.7403061897,0.319,7.0
2000-04-02,-1237757.0035010152,0.43,7.0
2000-04-09,-868619.3996828379,0.341,7.0
2000-04-16,1985814.4082653278,0.313,7.0
2000-04-23,-1403705.7750526653,0.31,7.0
2000-04-30,-475191.8337921912,0.32,7.0
2000-05-14,1867740.3989508648,0.321,14.0
2000-05-21,634296.9154284776,0.362,7.0
2000-05-28,3313164.2551200795,0.173,7.0
2000-06-04,550768.228497332,0.056,7.0
2000-06-18,2622973.791979414,0.034,14.0
2000-06-25,-1175880.1793944745,0.127,7.0
2000-07-02,54141.86090088197,0.038,7.0
2000-07-09,827884.9806110684,0.03,7.0
2000-07-16,-1090438.7439039242,0.03,7.0
2000-07-23,4910635.683541373,0.028,7.0
2000-07-30,10073020.518573672,0.026,7.0
2000-08-06,-252575.45131151986,0.006,7.0
2000-08-13,2477909.9599772603,0.023,7.0
2000-08-20,1223327.131312134,0.033,7.0
2000-08-27,-2968623.698259382,0.023,7.0
2000-09-03,1500657.4954936407,0.025,7.0
2000-09-10,665912.925380135,0.023,7.0
2000-09-17,1988814.2219572098,0.015,7.0
2000-09-24,3510575.484885595,0.029,7.0
2000-10-01,2679349.4344826355,0.024,7.0
2000-10-08,1786994.284996474,0.024,7.0
2000-10-15,8732368.814464986,0.073,7.0
2000-10-22,6105497.096496562,0.023,7.0
2000-11-05,4562652.95903207,0.026,14.0
2000-11-12,452814.00504737004,0.025,7.0
2000-11-19,231861.12470718822,0.081,7.0
2000-11-26,2296308.9515323807,0.066,7.0
2000-12-03,1635644.575528646,0.079,7.0
2000-12-10,-21911.02876630201,0.125,7.0
2000-12-17,-187624.0509451009,0.182,7.0
2000-12-24,333540.6406381548,0.077,7.0
2000-12-31,-313384.75130103255,0.092,7.0
2001-01-07,-730593.5633543461,0.151,7.0
2001-01-14,850490.6612211886,0.238,7.0
2001-01-21,1845227.5248021542,0.291,7.0
2001-01-28,1491925.6320127633,0.207,7.0
2001-02-04,1615224.7953396514,0.074,7.0
2001-02-11,2270519.0204517436,0.09,7.0
2001-02-18,760378.930300229,0.106,7.0
2001-02-25,1859325.4472153953,0.225,7.0
2001-03-04,-531797.5462483846,0.206,7.0
2001-03-11,-934310.2935156955,0.232,7.0
2001-03-18,-27290.09819459195,0.343,7.0
2001-03-25,-1128519.8432776048,0.325,7.0
2001-04-01,-699082.9538150111,0.285,7.0
2001-04-08,-114323.60939395381,0.352,7.0
2001-04-15,-111986.51417104786,0.328,7.0
2001-04-22,383338.2832967227,,
2001-04-29,-837170.5207202239,0.221,7.0
2001-05-06,3223216.7588350726,0.322,7.0
2001-05-13,1652130.7059103546,0.303,7.0
2001-05-20,-324472.524245074,0.265,7.0
2001-05-27,-319740.366070593,0.156,7.0
2001-06-03,-1112757.4383616562,0.129,7.0
2001-06-10,-372897.13345261745,0.046,7.0
2001-06-17,2696545.188799958,0.069,7.0
2001-06-24,33701.05477446539,0.075,7.0
2001-07-01,2605730.6258928324,0.042,7.0
2001-07-08,-884447.4409385844,0.041,7.0
2001-07-15,1167961.3217320365,0.016,7.0
2001-07-22,3137855.275587006,0.017,7.0
2001-07-29,588446.305175048,0.026,7.0
2001-08-05,1374785.0942641979,0.01,7.0
2001-08-12,-753015.7840623169,0.068,7.0
2001-08-19,2576287.927639986,0.019,7.0
2001-08-26,49511.76961670398,0.032,7.0
2001-09-02,-628641.6847895538,0.023,7.0
2001-09-09,3408739.9077800363,0.031,7.0
2001-09-16,2804835.940161924,0.016,7.0
2001-09-23,9074042.881666875,0.034,7.0
2001-09-30,2852356.5363084567,0.04,7.0
2001-10-07,-1764602.429664752,0.041,7.0
2001-10-14,-820312.4147699475,0.054,7.0
2001-10-21,4784219.443582201,0.062,7.0
2001-10-28,-508002.77776809415,0.104,7.0
2001-11-04,66907.50678838184,0.122,7.0
2001-11-11,-223393.51895151072,0.149,7.0
2001-11-18,-604845.5382830817,0.138,7.0
2001-11-25,-698712.7545175443,0.185,7.0
2001-12-02,4659345.44149288,0.099,7.0
2001-12-09,6566764.29757263,0.048,7.0
2001-12-16,5340729.8862640085,0.043,7.0
2001-12-23,1662524.083502382,0.108,7.0
2001-12-30,-2433728.390983473,0.229,7.0
2002-01-06,-1204354.4999578581,0.087,7.0
2002-01-13,3080692.9904399225,0.26,7.0
2002-01-20,1582934.0492758506,0.394,7.0
2002-01-27,-736185.289178792,0.416,7.0
2002-02-03,-929626.5974778162,0.344,7.0
2002-02-10,-446404.58916118694,0.164,7.0
2002-02-17,30520.72720520963,0.259,7.0
2002-02-24,668102.7449263118,0.222,7.0
2002-03-03,-582961.0777686088,0.278,7.0
2002-03-10,-170377.76396617136,0.288,7.0
2002-03-17,-1082604.4384887354,0.353,7.0
2002-03-24,11243.703113193675,0.318,7.0
2002-03-31,60329.39307647254,0.282,7.0
2002-04-07,806609.7674316097,0.291,7.0
2002-04-14,2799342.52825597,0.313,7.0
2002-04-21,1911874.147763755,0.333,7.0
2002-04-28,2848635.059251966,0.389,7.0
2002-05-05,3268990.6057101483,0.26,7.0
2002-05-12,1186836.685468474,0.274,7.0
2002-05-19,-285819.3244048789,0.18,7.0
2002-05-26,-1320517.2729397926,0.154,7.0
2002-06-02,1652153.0352211911,0.06,7.0
2002-06-09,1115251.747665123,0.025,7.0
2002-06-16,2620184.7494834526,0.035,7.0
2002-06-23,-1816371.1127845005,0.044,7.0
2002-06-30,-577933.3887498847,0.022,7.0
2007-07-29,-1807310.615040385,0.021,1855.0
2007-08-05,-803024.477356347,0.021,7.0
2007-08-12,4008732.372481708,0.022,7.0
2007-08-19,401728.6968463923,0.024,7.0
2007-08-26,755448.6564620116,0.023,7.0
2007-09-02,1225952.5337799818,0.036,7.0
2007-09-09,-2221052.906957115,0.016,7.0
2007-09-16,825648.9727876806,0.074,7.0
2007-09-23,240690.00570460927,0.001,7.0
2007-09-30,2001355.6057027557,0.073,7.0
2007-10-07,4251023.521446833,0.105,7.0
2007-10-14,5223587.408124444,0.061,7.0
2007-10-21,-281106.2355100714,0.053,7.0
2007-10-28,3541518.3528666957,,
2008-01-06,1248481.5259549918,0.138,70.0
2008-01-13,5607119.627110882,0.21,7.0
2008-01-20,109063.5103339521,0.157,7.0
2008-01-27,1368059.6926754962,0.244,7.0
2008-02-03,654022.0908310403,0.169,7.0
2008-02-10,-443529.5187912896,0.2,7.0
2008-02-17,4304279.355665534,0.308,7.0
2008-02-24,1237742.9984094636,0.29,7.0
2008-03-02,1203666.944484111,0.764,7.0
2008-03-09,-483807.76835147827,0.268,7.0
2008-03-16,563991.5330303122,0.305,7.0
2008-03-23,-24932.800829004693,0.325,7.0
2008-03-30,-1193152.173068392,0.616,7.0
2008-04-06,-524055.2269855963,0.535,7.0
2008-04-13,-998298.0062455032,0.49,7.0
2008-04-20,-533158.9908013185,0.491,7.0
2008-04-27,90069.52247863788,0.59,7.0
2008-05-04,-516254.791850515,0.002,7.0
2008-05-11,72197.22004931475,0.344,7.0
2008-05-18,-711896.6476179205,0.384,7.0
2008-05-25,-1798159.8751719452,0.274,7.0
2008-06-01,-171493.99073533184,0.197,7.0
2008-06-08,1271595.4170437271,0.065,7.0
2008-06-15,-502196.53532833786,0.089,7.0
2008-06-22,-2956908.2982947,0.063,7.0
2008-06-29,-121843.07416969535,0.053,7.0
2008-07-06,225418.95658954285,0.071,7.0
2008-07-13,131501.2181506708,0.038,7.0
2008-07-20,-649623.4684404102,0.019,7.0
2008-07-27,1749152.3864516078,0.033,7.0
2008-08-03,2709185.5441054977,0.055,7.0
2008-08-10,-3237150.7646854357,0.028,7.0
2008-08-17,-2688792.74813239,0.018,7.0
2008-08-24,2125810.527489174,0.032,7.0
2008-08-31,3831921.8905087193,0.035,7.0
2008-09-07,-655939.4713477578,0.027,7.0
2008-09-14,-1114906.9198513846,0.051,7.0
2008-09-21,5746534.298876967,0.016,7.0
2008-09-28,9555932.995145453,0.053,7.0
2008-10-05,1912387.9528427615,0.076,7.0
2008-10-12,-1569691.3966046104,0.111,7.0
2008-10-19,964352.8677121827,0.098,7.0
2008-10-26,1559083.0257233763,0.06,7.0
2008-11-02,1752104.2358856557,0.117,7.0
2008-11-09,72948.40001434927,0.262,7.0
2008-11-16,1492752.369292766,0.197,7.0
2008-11-23,-280546.2380871661,0.288,7.0
2008-11-30,-377679.43795337173,0.241,7.0
2008-12-07,-442863.76947805175,0.192,7.0
2008-12-14,903892.3193091026,0.12,7.0
2008-12-21,3498937.440292808,0.206,7.0
2008-12-28,3806453.937975911,0.124,7.0
2009-01-04,2733079.903444226,0.318,7.0
2009-01-11,-2157673.383642559,0.406,7.0
2009-01-18,404477.96887931996,0.275,7.0
2009-01-25,1904366.9394038457,0.45,7.0
2009-02-01,2202428.0209745388,0.104,7.0
2009-02-08,3569377.2528631063,0.444,7.0
2009-02-15,-1038602.7460642601,0.344,7.0
2009-02-22,-279636.16159476555,0.278,7.0
2009-03-01,3233875.165080101,0.164,7.0
2009-03-08,-176913.9396704922,0.387,7.0
2009-03-15,2082670.1327998107,0.376,7.0
2009-03-22,666030.645532427,0.388,7.0
2009-03-29,-140309.80666684755,0.418,7.0
2009-04-05,-377399.53248525894,0.442,7.0
2009-04-12,-1060450.9503148445,0.437,7.0
2009-04-19,2552209.5437104716,0.615,7.0
2009-04-26,-716819.8628481672,0.748,7.0
2009-05-03,717299.2611347648,0.705,7.0
2009-05-10,2289637.0341491373,0.216,7.0
2009-05-17,1371613.3752918895,0.157,7.0
2009-05-24,1096205.640559036,0.104,7.0
2009-05-31,-123956.95645607986,0.15,7.0
2009-06-07,941736.1233876435,0.064,7.0
2009-06-14,-3107773.393948929,0.117,7.0
2009-06-21,259470.2127246129,0.087,7.0
2009-06-28,1430465.2274334473,0.042,7.0
2009-07-05,1643379.614258505,0.032,7.0
2009-07-12,-613894.569129738,0.051,7.0
2009-07-19,190988.12540846798,0.051,7.0
2009-07-26,-4321829.039624668,0.032,7.0
2009-08-02,-69807.66455482296,0.035,7.0
2009-08-09,4341328.909489399,0.031,7.0
2009-08-16,2299871.3243699535,0.021,7.0
2009-08-23,-491115.9354404787,0.032,7.0
2009-08-30,4273288.975990848,0.018,7.0
2009-09-06,225834.96247653058,0.012,7.0
2009-09-13,3317692.7047732994,0.028,7.0
2009-09-20,1973626.0008137992,0.025,7.0
2009-09-27,1390901.047715222,0.129,7.0
2009-10-04,2511240.7137870668,0.089,7.0
2009-10-11,-2907703.2057323228,0.027,7.0
2009-10-18,-2309097.920745387,0.058,7.0
2009-10-25,2536220.202514916,0.085,7.0
2009-11-01,1666670.5878116116,0.05,7.0
2009-11-08,2906229.766923407,0.055,7.0
2009-11-15,2772640.4661342013,0.051,7.0
2009-11-22,2522302.9066843945,0.055,7.0
