date,nwvf_time_integral,SO4,days_diff
1993-01-03,,0.45599999999999996,2.0
1993-01-10,,1.332,7.0
1993-01-17,,1.2189999999999999,7.0
1993-01-24,,1.728,7.0
1993-01-31,,1.472,7.0
1993-02-07,,1.794,7.0
1993-02-14,,1.874,7.0
1993-02-21,,2.508,7.0
1993-02-28,,2.657,7.0
1993-03-07,,1.478,7.0
1993-03-14,,0.206,1.0
1994-01-02,-208205.33905593294,0.44999999999999996,300.0
1994-01-09,-517864.7081183533,3.05,7.0
1994-01-16,-1009844.5643075234,1.7229999999999999,7.0
1994-01-23,1490858.1061528693,1.353,7.0
1994-01-30,-1035586.0646231495,2.496,7.0
1994-02-06,1155277.899041633,0.731,7.0
1994-02-13,3096769.144961099,0.297,7.0
1994-02-20,1068460.8541438654,0.526,7.0
1994-02-27,-897873.8823327242,1.8679999999999999,7.0
1994-03-06,2070130.5930066672,0.753,7.0
1994-03-13,1041507.8007036713,0.9430000000000001,2.0
1995-01-01,-964592.6256772147,0.377,299.0
1995-01-08,1884296.5109282003,1.399,7.0
1995-01-15,1174592.4034705411,0.794,7.0
1995-01-22,2778964.553035781,0.802,7.0
1995-01-29,-693486.5274805163,1.699,7.0
1995-02-05,643499.7373665454,1.339,7.0
1995-02-12,-2013509.812310561,2.458,7.0
1995-02-19,329392.8988939481,1.364,7.0
1995-02-26,60198.93663919736,2.268,7.0
1995-03-05,-98029.86732728312,2.558,7.0
1995-03-12,-70873.74790248711,0.415,3.0
1996-01-07,-586524.9108375505,1.938,305.0
1996-01-14,4559406.869636652,0.131,7.0
1996-01-21,6236320.01437378,0.20700000000000002,7.0
1996-01-28,2320479.4502959154,0.5750000000000001,7.0
1996-02-04,-975436.3729579401,1.549,7.0
1996-02-11,590564.2663492154,0.798,7.0
1996-02-18,-144526.8450602778,2.021,7.0
1996-02-25,2616011.533135936,0.694,7.0
1996-03-03,1763910.3276341339,1.4329999999999998,7.0
1996-03-10,159375.97706727803,0.555,4.0
1997-01-05,22229228.68035963,1.208,304.0
1997-01-12,-958534.1951509332,1.345,7.0
1997-01-19,-381093.1161306789,1.393,7.0
1997-01-26,2725522.0073076207,0.724,7.0
1997-02-02,1355766.8457118578,1.315,7.0
1997-02-09,-424374.5319310579,2.459,7.0
1997-02-16,-208338.449297423,2.221,7.0
1997-02-23,2859526.7458094438,1.267,7.0
1997-03-02,1069458.004810857,4.064,7.0
1997-03-09,2650819.557155445,0.5429999999999999,6.0
1998-01-04,1918648.848064818,0.658,302.0
1998-01-11,263553.6130785825,0.919,7.0
1998-01-18,-436997.8361959437,2.491,7.0
1998-01-25,815204.9321095619,1.923,7.0
1998-02-01,-994079.8933750817,2.1879999999999997,7.0
1998-02-08,153510.13528564377,1.492,7.0
1998-02-15,1018076.6353533661,1.162,7.0
1998-02-22,-16690.743740988226,1.545,7.0
1998-03-01,-129099.65140352087,3.3289999999999997,7.0
1998-03-08,-1318569.6920381566,3.528,7.0
1999-01-03,259379.65252721307,0.405,301.0
1999-01-10,-557347.9619128645,1.173,7.0
1999-01-17,2001921.9500632815,0.954,7.0
1999-01-24,693491.8225984053,1.358,7.0
1999-01-31,590848.0136753126,1.0110000000000001,7.0
1999-02-07,958729.0917408618,1.795,7.0
1999-02-14,360970.1832308382,2.259,7.0
1999-02-21,1289395.5009086998,1.428,7.0
1999-02-28,2675172.809088899,2.013,7.0
1999-03-07,341382.2637674182,2.96,7.0
1999-03-14,125332.60594921907,0.199,1.0
2000-01-02,3798520.6923723198,0.306,300.0
2000-01-09,2104356.890709829,1.032,7.0
2000-01-16,468552.2933432293,1.022,7.0
2000-01-23,-1352595.97958206,1.109,7.0
2000-01-30,-401919.5958822919,1.959,7.0
2000-02-06,272546.70605469716,0.221,1.0
2000-02-13,459486.7982208616,0.381,13.0
2000-02-20,-124366.64445321712,1.557,7.0
2000-02-27,1634624.4515617697,0.93,7.0
2000-03-05,-1007781.4313791054,1.149,7.0
2000-03-12,12512.51258655751,0.95,2.0
2001-01-07,253661.274361376,1.117,306.0
2001-01-14,1294971.661776376,1.065,7.0
2001-01-21,1312022.9057646194,1.6099999999999999,7.0
2001-01-28,2180958.4207030274,1.214,7.0
2001-02-04,2187229.821341375,0.998,7.0
2001-02-11,547290.5752221602,1.508,7.0
2001-02-18,1747615.2087031922,0.306,7.0
2001-02-25,18313.7251145598,1.181,7.0
2001-03-04,-862940.8663423244,1.159,7.0
2001-03-11,-357600.715177644,2.162,4.0
2002-01-06,1106848.1594170532,0.167,304.0
2002-01-13,2790604.038978887,0.315,7.0
2002-01-20,-418467.92247646546,1.0670000000000002,6.0
2002-01-27,-1183299.6594240258,1.118,8.0
2002-02-03,-938694.020210163,0.975,7.0
2002-02-10,386656.86546743417,0.9530000000000001,7.0
2002-02-17,842388.3529518872,1.176,7.0
2002-02-24,-690911.5240545357,2.123,7.0
2002-03-03,-291759.32717520493,1.668,7.0
2002-03-10,-370493.5165139013,0.52,5.0
2003-01-05,777476.3157987748,0.353,303.0
2003-01-12,-617053.0434810981,0.9810000000000001,7.0
2003-01-19,-1114925.3721564356,1.627,7.0
2003-01-26,-198013.55153134285,1.973,7.0
2003-02-02,-510260.92812516115,2.14,7.0
2003-02-09,3037930.1888672565,2.051,7.0
2003-02-16,2584034.4936866644,1.782,7.0
2003-02-23,1882108.3866098472,1.226,7.0
2003-03-02,1150936.7575390567,1.4809999999999999,7.0
2003-03-09,383912.09874354454,1.4020000000000001,6.0
2004-01-04,-224113.38251632563,1.701,302.0
2004-01-11,2092239.4115207326,3.9819999999999998,7.0
2004-01-18,-453692.7012344583,2.301,7.0
2004-01-25,1615653.8355417366,3.5669999999999997,7.0
2004-02-01,227664.86505466246,3.327,7.0
2004-02-08,-573774.8711546534,1.896,7.0
2004-02-15,840681.4920774065,1.439,7.0
