"date","BC","Dust","OC","SO4","SS","PM25"
1980-01-01,2.29074873696145e-07,3.93659721195326e-06,6.06610192488146e-07,3.77741503849928e-06,1.38170348618899e-05,2.23667321785267e-05
1980-01-02,2.35611751378354e-07,3.96579737221673e-06,6.12975990775382e-07,3.79666157691017e-06,1.37420906672982e-05,2.23531373585788e-05
1980-01-03,2.02741572451803e-07,3.28494286178731e-06,5.72458210631863e-07,2.92879164949018e-06,1.53117543935118e-05,2.2300688687873e-05
1980-01-04,1.85291223328847e-07,3.43839998975587e-06,5.56873562384222e-07,2.48425156016233e-06,1.22222741585973e-05,1.88870904942286e-05
1980-01-05,2.09550659979368e-07,3.58262488648073e-06,6.44150896240061e-07,3.05094788576158e-06,9.42457924877364e-06,1.69118535772354e-05
1980-01-06,2.12362597567103e-07,3.88404117359809e-06,6.93323905278163e-07,3.273729128791e-06,8.7444464461626e-06,1.6807903251397e-05
1980-01-07,1.80297108178982e-07,3.94967151230296e-06,8.45127023327186e-07,2.37682956422536e-06,9.23865155724099e-06,1.65905767652755e-05
1980-01-08,1.7805496343947e-07,3.06279233634663e-06,6.89175645095378e-07,2.19309765516528e-06,1.17024147276925e-05,1.78255353277393e-05
1980-01-09,1.90462039032064e-07,2.08543872690039e-06,5.79422203562989e-07,2.52917190580566e-06,7.03112699095058e-06,1.24156218662517e-05
1980-01-10,2.34580434424035e-07,2.14186394636487e-06,6.7633454055508e-07,3.49564210507648e-06,1.15714544811769e-05,1.81198755075974e-05
1980-01-11,2.39682250276481e-07,2.66675494798508e-06,6.3477515777255e-07,4.1641263308676e-06,1.49101034799338e-05,2.26154421668355e-05
1980-01-12,2.16839358415386e-07,2.77000320825494e-06,5.62240214661458e-07,4.13134830015397e-06,1.56993143961793e-05,2.33797454776651e-05
1980-01-13,1.96047400238147e-07,4.39309796841771e-06,5.56058072549324e-07,3.08539229514593e-06,3.21217325579458e-05,4.03523282942969e-05
1980-01-14,2.64842473664154e-07,6.10722311621584e-06,8.70104159419395e-07,3.46357417049493e-06,2.70959339952917e-05,3.7801677915086e-05
1980-01-15,2.92826817111812e-07,6.99945055132207e-06,9.06046756270918e-07,4.24974797484393e-06,2.32766894083599e-05,3.57247615079087e-05
1980-01-16,2.57021480426082e-07,6.94368397693725e-06,7.27570875170219e-07,4.10375288874681e-06,1.95177247274711e-05,3.15497539487515e-05
1980-01-17,2.39678738520261e-07,5.33337980029321e-06,6.53431150834776e-07,3.75463338679582e-06,2.64604144411802e-05,3.64415375176243e-05
1980-01-18,2.8787442435211e-07,5.02739701932466e-06,7.05436931020466e-07,4.18907757156106e-06,1.73315833537225e-05,2.75413692999808e-05
1980-01-19,3.0594614801003e-07,5.47041470388656e-06,7.42811446276577e-07,4.05647902424483e-06,1.38114722466783e-05,2.43871235690963e-05
1980-01-20,3.02614749924803e-07,7.91434573237966e-06,7.37499681232202e-07,4.09551556923964e-06,1.23913529481187e-05,2.5441328680895e-05
1980-01-21,3.37119943080104e-07,9.31976066129224e-06,7.63420621415707e-07,5.23206621404808e-06,1.09368273146129e-05,2.6589194754449e-05
1980-01-22,3.15562736241985e-07,8.73438067076299e-06,7.37872829591464e-07,5.42041418237434e-06,1.14171367165436e-05,2.66253671355144e-05
1980-01-23,2.47474776222093e-07,6.33374164856994e-06,6.64625409116325e-07,4.21170392056612e-06,1.71712014662398e-05,2.86287472207143e-05
