"date","BC","Dust","OC","SO4","SS","PM25"
1980-01-01,2.25908357858277e-07,4.22343509835503e-06,6.12320958984362e-07,3.45822882036146e-06,2.16177216254168e-05,3.0137614860976e-05
1980-01-02,2.07451940151988e-07,4.10110450532896e-06,5.86075591498733e-07,3.02929790400928e-06,1.91104481097515e-05,2.70343780507405e-05
1980-01-03,1.67575485139405e-07,2.94053599609572e-06,5.44177948409135e-07,2.01615481754061e-06,2.16273568279635e-05,2.72958010751484e-05
1980-01-04,1.65341210725471e-07,2.603889738785e-06,5.41488527933026e-07,1.77359424526322e-06,1.62627452351324e-05,2.13470589578391e-05
1980-01-05,2.11712890624348e-07,3.28117178200096e-06,7.1802413552598e-07,2.79474177211031e-06,1.27664140360544e-05,1.9772064616316e-05
1980-01-06,2.3317590645906e-07,3.25310322382182e-06,8.25760061062199e-07,3.426046468328e-06,1.35574607522849e-05,2.1295546411956e-05
1980-01-07,1.73132520960153e-07,3.06976638661771e-06,8.98219998269635e-07,2.11222710858788e-06,1.27101594465009e-05,1.89635054609363e-05
1980-01-08,1.75606968783185e-07,2.44078011740848e-06,7.68746759489802e-07,2.05302606024313e-06,1.99867018333949e-05,2.54248617393195e-05
1980-01-09,2.22577452519595e-07,1.81397793035587e-06,6.62272003960066e-07,3.23811625304277e-06,1.03225561569242e-05,1.62594997968025e-05
1980-01-10,2.38347531564452e-07,2.35219145986237e-06,6.65890792474796e-07,3.88244710773978e-06,1.73664733472393e-05,2.45053502388807e-05
1980-01-11,2.45615852114444e-07,2.83755595320586e-06,6.27275104042866e-07,4.23232386799965e-06,2.12382350040914e-05,2.91810057814543e-05
1980-01-12,2.1563858560721e-07,2.83209276017378e-06,5.88628808827923e-07,3.73527030483363e-06,2.36392720205324e-05,3.10109024799749e-05
1980-01-13,1.78069505624493e-07,2.90200982216524e-06,5.56511768170776e-07,2.51434459588092e-06,5.57559882814824e-05,6.19069239733239e-05
1980-01-14,2.24266699743558e-07,4.64494175922539e-06,9.13261138481936e-07,2.92122437180183e-06,4.83560759558441e-05,5.70597699250968e-05
1980-01-15,2.53948426553374e-07,5.28361345526432e-06,9.14065989484639e-07,3.5067227750357e-06,3.63897019680627e-05,4.63480526144007e-05
1980-01-16,2.44606797028366e-07,5.69415275370864e-06,7.3014555075739e-07,3.86556915694911e-06,2.27609640240181e-05,3.32954382824616e-05
1980-01-17,2.22561929050756e-07,3.79675349495141e-06,6.30326281439055e-07,3.45431699115826e-06,4.54361554810734e-05,5.35401141776729e-05
1980-01-18,2.13863310089891e-07,3.63432457878261e-06,6.03217883442667e-07,3.48036112502765e-06,3.01652335846387e-05,3.80970004819815e-05
